Country,Year,Exports,Foreign Direct Investment,GDP,GDP Growth,GDP per Capita,Government Spending,Imports,Inflation Rate,Investment,Life Expectancy,Population,Unemployment Rate,exchange_rate,Trade_Balance,Inflation_diff,Unemployment_diff,GDP_growth_calc,Population_growth,Investment_growth,Investment_to_GDP,Trade_to_GDP,Inflation_volatility,Inflation_shock
India,2012,448400477361.254,23995685014.2141,1827637590410.41,5.45638755166587,1429.32199520032,195262172598.014,571306554042.386,9.47899691419801,700851783791.42,68.076,1278674502.0,31.5898935604399,53.4372333333333,-122906076681.13196,0.06364639822131735,0.010079833738600108,0.002515430686425013,0.01383539704369019,-0.02896018436586245,0.3834741567304043,-0.06724860405915183,2.1999587255089272,0
Indonesia,1985,20279853770.1021,310000000.0,85289488375.4435,2.46214356422551,511.400883618027,10264996668.4075,17860217183.8139,4.72453518543398,21618280538.0972,61.387,166776185.0,25.9911933055087,1110.57999999967,2419636586.2882004,-0.5481092816010976,0.033425542064386304,0.005135761288552976,0.021592874300822684,0.023807700791019792,0.2534694597174008,0.028369692823539797,3.3409826704902503,0
Indonesia,1986,16387068856.9447,258000000.0,79954072544.5279,5.87504510359864,469.834241253429,8988818823.02558,16401727039.9031,5.82266576732484,22104516510.5987,61.736,170175065.0,26.8624898876605,1282.55999999975,-14658182.958398819,0.23243145384470032,0.033522761802827095,-0.06255654632877095,0.020379888171683458,0.022491889289928624,0.2764651731566055,-0.0001833325369415724,3.015611700692216,0
Indonesia,1987,18661070321.4196,385000000.0,75929617557.7521,4.92592736496611,437.60655039936,7156066655.562,17006296443.198,9.27865406602839,20688329529.1662,62.087,173511154.0,27.7615741974155,1643.84833333333,1654773878.2216015,0.5935405597377033,0.033469879877665365,-0.050334584076808575,0.019603864996320164,-0.06406776555159976,0.2724671899398235,0.021793523152714152,3.0419472320762657,0
Indonesia,1988,21110162564.1561,576000000.0,84300174485.7973,5.7804984881177,476.662483405818,7567064347.62185,18725515167.3194,8.04535671530907,24529683337.4589,62.386,176855065.0,28.6856072589677,1685.70416666667,2384647396.8367004,-0.13291769926359764,0.03328460608830408,0.11024099945819632,0.019272023284451212,0.18567733092597938,0.2909802202318289,0.028287573678017243,3.029184381187975,0
Indonesia,1989,24640067876.9285,682000000.0,94451427876.6628,7.45658692516847,524.143027322576,8868399645.64163,21718472096.2059,6.41554079916364,28980562404.7472,62.883,180201630.0,29.6317500965114,1770.05916666667,2921595780.722603,-0.20257845286637732,0.03298319010652695,0.12041794044656173,0.01892264154266665,0.18144869650605844,0.3068303259807866,0.030932256360779436,2.37557350718666,0
Indonesia,1990,28982531183.3725,1093000000.0,106140727333.636,7.24213163856464,578.420121135382,10119925224.4802,27157275246.8897,7.81919756505635,34716180155.1681,63.249,183501098.0,30.5945178088725,1842.81333333333,1825255936.4827995,0.2187900926568338,0.032491085043081736,0.12375990199150189,0.018309867674337843,0.1979125756883644,0.32707690089633046,0.017196565186004487,1.8089181278129136,0
Indonesia,1991,33063806609.367,1482000000.0,116621996217.133,6.91198283591309,624.387495384411,10657020932.8224,30891188671.1508,9.41906784347004,37166760181.24,63.703,186778238.0,31.5991952251753,1950.3175,2172617938.216202,0.2046079875975304,0.03283847853328292,0.09874879461256048,0.0178589667076543,0.07058898804876401,0.3186942548302891,0.01862957253939563,1.3738268352576297,0
Indonesia,1992,38801726176.401,1777000000.0,128026966579.964,6.49750651682714,673.67103954742,12183386537.4005,34720875699.535,7.52351006242677,38633196382.1234,64.182,190043744.0,32.6914992355049,2029.92083333333,4080850476.8659973,-0.20124685505449502,0.03456746295422586,0.09779433325422282,0.017483332292705267,0.03945558326129239,0.3017582733868306,0.03187492905502178,1.2250247176673505,0
Indonesia,1993,42274397859.4989,2004000000.0,158006700301.533,6.49640812045304,817.395116417856,14257437867.9777,37555937063.1049,9.6719108926401,44685358407.1028,64.851,193305168.0,33.8555422228307,2087.10386666667,4718460796.394005,0.2855583115310334,0.0356069013213558,0.2341673361669787,0.0171614383686316,0.15665703570362344,0.2828067311185364,0.02986240955218673,1.0799544470609257,0
